match_id,player,Date,avg_srv_win_1_3,avg_srv_win_4_6,avg_srv_win_7plus,avg_ret_win_1_3,avg_ret_win_4_6,avg_ret_win_7plus
20260304-M-Indian_Wells_Masters-R128-Matteo_Berrettini-Adrian_Mannarino,Adrian Mannarino,2026-03-04,0.47094764619243973,0.467266172943212,0.5273913613116291,0.4700917432511991,0.48657312877343495,0.49066883348652907
20260319-M-Miami_Masters-R128-Zhizhen_Zhang-Adrian_Mannarino,Adrian Mannarino,2026-03-19,0.47094764619243973,0.467266172943212,0.5273913613116291,0.47052597395994566,0.48684166619796626,0.4894829077971906
20020226-M-Dubai-R32-Roger_Federer-Adrian_Voinea,Adrian Voinea,2002-02-26,,,,,,
19740714-M-Bastad-F-Bjorn_Borg-Adriano_Panatta,Adriano Panatta,1974-07-14,,,,,,
19790922-M-Palermo-SF-Corrado_Barazzutti-Adriano_Panatta,Adriano Panatta,1979-09-22,,,,0.43119266055045874,0.5,0.32653061224489793
19791005-M-Davis_Cup_SF-RR-Ivan_Lendl-Adriano_Panatta,Adriano Panatta,1979-10-05,,,,0.39980685659101883,0.48684210526315785,0.29229756418696506
19801205-M-Davis_Cup_World_Group_F-RR-Tomas_Smid-Adriano_Panatta,Adriano Panatta,1980-12-05,,,,0.44946473366230527,0.5344379467186485,0.3615317094579767
20151123-M-Andria_CH-R32-Adrien_Bossel-Dudi_Sela,Adrien Bossel,2015-11-23,,,,,,
20030518-M-Hamburg_Masters-F-Guillermo_Coria-Agustin_Calleri,Agustin Calleri,2003-05-18,,,,,,
20160310-M-Puebla_CH-R16-Dennis_Novak-Agustin_Velotti,Agustin Velotti,2016-03-10,,,,,,
20070628-M-Wimbledon-R64-Aisam_Ul_Haq_Qureshi-Marat_Safin,Aisam Ul Haq Qureshi,2007-06-28,,,,,,
20180816-M-Gwangju_CH-R16-Akira_Santillan-Karim_Mohamed_Maamoun,Akira Santillan,2018-08-16,,,,,,
20050923-M-Davis_Cup_World_Group_PO-RR-Roger_Federer-Alan_Mackin,Alan Mackin,2005-09-23,,,,,,
20160219-M-Wroclaw_CH-QF-Albano_Olivetti-Dustin_Brown,Albano Olivetti,2016-02-19,,,,,,
19960428-M-Monte_Carlo_Masters-F-Albert_Costa-Thomas_Muster,Albert Costa,1996-04-28,,,,,,
19970404-M-Davis_Cup_World_Group_QF-RR-Albert_Costa-Renzo_Furlan,Albert Costa,1997-04-04,0.46788990825688076,0.37662337662337664,0.509090909090909,,,
19970809-M-Cincinnati_Masters-SF-Pete_Sampras-Albert_Costa,Albert Costa,1997-08-09,0.4534571492503916,0.4722623055956389,0.4936758893280632,,,
19980510-M-Hamburg_Masters-F-Albert_Costa-Alex_Corretja,Albert Costa,1998-05-10,0.4534571492503916,0.4722623055956389,0.4936758893280632,0.4155844155844156,0.3333333333333333,0.6
20000512-M-Rome_Masters-QF-Gustavo_Kuerten-Albert_Costa,Albert Costa,2000-05-12,0.5267945620852951,0.5529367751589974,0.5175230566534914,0.4155844155844156,0.3333333333333333,0.6
20001208-M-Davis_Cup_World_Group_F-RR-Albert_Costa-Lleyton_Hewitt,Albert Costa,2000-12-08,0.5267945620852951,0.5529367751589974,0.5175230566534914,0.41367456073338427,0.3484848484848485,0.5727272727272728
20020510-M-Rome_Masters-QF-Albert_Costa-Andre_Agassi,Albert Costa,2002-05-10,0.508732285200335,0.5352382956549623,0.527346837944664,0.41367456073338427,0.3484848484848485,0.5727272727272728
20020609-M-Roland_Garros-F-Albert_Costa-Juan_Carlos_Ferrero,Albert Costa,2002-06-09,0.4903191614936013,0.49819063652396983,0.48341593189419274,0.41367456073338427,0.3484848484848485,0.5727272727272728
20050226-M-Acapulco-F-Rafael_Nadal-Albert_Montanes,Albert Montanes,2005-02-26,,,,,,
20140220-M-Rio_de_Janeiro-R16-Albert_Montanes-Rafael_Nadal,Albert Montanes,2014-02-20,,,,0.32142857142857145,0.2727272727272727,0.3181818181818182
20160326-M-San_Luis_Potosi_CH-SF-Albert_Montanes-Pedja_Krstin,Albert Montanes,2016-03-26,0.3902439024390244,0.4186046511627907,0.375,0.32142857142857145,0.2727272727272727,0.3181818181818182
