match_id,Winner
19900605-M-Roland_Garros-QF-Michael_Chang-Andre_Agassi,2
19900606-M-Roland_Garros-QF-Henri_Leconte-Jonas_Svensson,2
19900606-M-Roland_Garros-QF-Thierry_Champion-Andres_Gomez,2
19900609-M-Roland_Garros-SF-Andre_Agassi-Jonas_Svensson,1
19900609-M-Roland_Garros-SF-Andres_Gomez-Thomas_Muster,1
19900610-M-Roland_Garros-F-Andres_Gomez-Andre_Agassi,1
19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl,2
19900611-M-Queens_Club-SF-John_Mcenroe-Ivan_Lendl,2
19900616-M-Queens_Club-SF-Stefan_Edberg-Boris_Becker,2
19900625-M-Wimbledon-R128-Boris_Becker-Luis_Herrera,1
19900626-M-Wimbledon-R128-John_Mcenroe-Derrick_Rostagno,2
19900702-M-Wimbledon-R16-Pat_Cash-Boris_Becker,2
19900702-M-Wimbledon-R16-Stefan_Edberg-Michael_Chang,1
19900706-M-Wimbledon-SF-Boris_Becker-Goran_Ivanisevic,1
19900707-M-Wimbledon-SF-Stefan_Edberg-Ivan_Lendl,1
19900708-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,2
19900728-M-Canada_Masters-SF-Pete_Sampras-Michael_Chang,2
19900804-M-Los_Angeles-SF-Pete_Sampras-Stefan_Edberg,2
19900805-M-Los_Angeles-F-Michael_Chang-Stefan_Edberg,2
19900811-M-Cincinnati_Masters-SF-Andres_Gomez-Stefan_Edberg,2
19900812-M-Cincinnati_Masters-F-Brad_Gilbert-Stefan_Edberg,2
19900819-M-Indianapolis-F-Boris_Becker-Peter_Lundgren,1
19900826-M-Long_Island-F-Goran_Ivanisevic-Stefan_Edberg,2
19900829-M-US_Open-R64-Michael_Stich-Ivan_Lendl,2
19900830-M-US_Open-R64-Yannick_Noah-Boris_Becker,2
19900901-M-US_Open-R32-Tomas_Carbonell-Boris_Becker,2
19900902-M-US_Open-R16-John_Mcenroe-Emilio_Sanchez,1
19900903-M-US_Open-R16-Darren_Cahill-Boris_Becker,2
19900905-M-US_Open-QF-John_Mcenroe-David_Wheaton,1
19900906-M-US_Open-QF-Andrei_Cherkasov-Andre_Agassi,2
19900908-M-US_Open-SF-Andre_Agassi-Boris_Becker,1
19900908-M-US_Open-SF-John_Mcenroe-Pete_Sampras,2
19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras,2
19900914-M-Bordeaux-QF-Fabrice_Santoro-Goran_Ivanisevic,2
19900930-M-Basel-F-John_Mcenroe-Goran_Ivanisevic,1
19901006-M-Sydney_Indoor-SF-Stefan_Edberg-Ivan_Lendl,1
19901007-M-Sydney_Indoor-F-Boris_Becker-Stefan_Edberg,1
19901014-M-Tokyo_Indoor-F-Ivan_Lendl-Boris_Becker,1
19901027-M-Stockholm_Masters-SF-Pete_Sampras-Boris_Becker,2
19901028-M-Stockholm-F-Stefan_Edberg-Boris_Becker,2
19901102-M-Paris_Masters-QF-Michael_Stich-Boris_Becker,2
19901103-M-Paris_Masters-SF-Boris_Becker-Jonas_Svensson,1
